"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-14","0.00","T,,0,2400","36",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-15","0.00",",,0,2400","36",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-16","0.00",",,0,2400","46",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-17","0.00","T,,0,2400","39",",,0","22",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-18","0.00","T,,0,2400","43",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-19","0.00",",,0,2400","19",",,0","7",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-20","0.00",",,0,2400","22",",,0","5",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-21","0.01",",,0,2400","40",",,0","16",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-22","0.00","T,,0,2400","34",",,0","19",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-23","0.00","T,,0,2400","39",",,0","15",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-24","0.00","T,,0,2400","21",",,0","6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-25","0.00",",,0,2400","29",",,0","9",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-26","0.00",",,0,2400","54",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-27","0.00",",,0,2400","59",",,0","26",",,0",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-28","0.00","T,,0,2400","56",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-29","0.00","T,,0,2400","73",",,0","15",",,0","    1",",,W",,,,,"    1",",,0",,,"    1",",,0",,,"    1",",,0",,,,,"    1",",,X",,,,,,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-30","0.00",",,0,2400","30",",,0","11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-31","0.30",",,0,2400","30",",,0","23",",,0","    1",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-01","0.32",",,0,2400","31",",,0","20",",,0","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-02","0.00",",,0,2400","48",",,0","22",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-03","0.14",",,0,2400","40",",,0","20",",,0","    1",",,0","    1",",,X","    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-04","0.00","T,,0,2400","75",",,0","36",",,0","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-05","2.36",",,0,2400","68",",,0","35",",,0","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-06","0.06",",,0,2400","37",",,0","33",",,0","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-07","0.00","T,,0,2400","39",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-08","0.01",",,0,2400","50",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-09","0.00",",,0,2400","57",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-10","0.00","T,,0,2400","31",",,0","14",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-11","0.04",",,0,2400","20",",,W","12",",,W","    1",",,0",,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,X","    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-12","0.00","T,,0,2400","23",",,W","16",",,W","    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,"    1",",,X","    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-13","0.00","T,,0,2400","33",",,W","11",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-14","0.00",",,0,2400","54",",,W","25",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-15","0.00",",,0,2400","41",",,W","25",",,W",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-16","0.46",",,0,2400","37",",,W","22",",,W","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-17","0.63",",,0,2400","56",",,W","36",",,W","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-18","0.00","T,,0,2400","37",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-19","0.00",",,0,2400","32",",,0","13",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-20","0.00","T,,0,2400","32",",,0","15",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-21","0.34",",,0,2400","25",",,0","17",",,0","    1",",,0",,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-22","0.02",",,0,2400","27",",,0","23",",,0","    1",",,0",,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-23","0.00","T,,0,2400","38",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-24","0.10",",,0,2400","39",",,0","30",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-25","0.05",",,0,2400","41",",,0","35",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-26","0.03",",,0,2400","36",",,0","27",",,0","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-27","0.00","T,,0,2400","37",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-28","0.04",",,0,2400","39",",,0","20",",,0","    1",",,0",,,,,"    1",",,0",,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-02-29","0.00",",,0,2400","52",",,0","31",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-01","0.00",",,0,2400","63",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-02","0.00",",,0,2400","78",",,0","42",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-03","0.74",",,0,2400","66",",,0","28",",,0","    1",",,0",,,"    1",",,X","    1",",,X","    1",",,0","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,X",,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-04","0.73",",,0,2400","34",",,0","17",",,0","    1",",,W","    1",",,X",,,"    1",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,"    1",",,X","    1",",,X"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-05","0.00",",,0,2400","44",",,0","12",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-06","0.00",",,0,2400","36",",,0","28",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-07","0.00",",,0,2400","33",",,0","23",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-08","0.00",",,0,2400","34",",,0","15",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-09","0.00",",,0,2400","50",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-10","0.00",",,0,2400","44",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-11","0.00",",,0,2400","59",",,0","27",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-12","0.00",",,0,2400","71",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-13","0.04",",,0,2400","60",",,0","43",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-14","0.00","T,,0,2400","60",",,0","46",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-15","0.21",",,0,2400","52",",,0","39",",,0","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-16","0.00",",,0,2400","48",",,0","35",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-17","0.85",",,0,2400","51",",,0","41",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-18","2.46",",,0,2400","57",",,0","44",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-19","0.31",",,0,2400","47",",,0","38",",,0","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-20","0.00",",,0,2400","61",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-21","0.00",",,0,2400","70",",,0","46",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-22","0.00",",,0,2400","46",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-23","0.04",",,0,2400","41",",,0","30",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-24","0.00",",,0,2400","48",",,0","27",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-25","0.00",",,0,2400","64",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-26","1.24",",,0,2400","62",",,0","42",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-27","0.22",",,0,2400","63",",,0","38",",,0","    1",",,0","    1",",,X","    1",",,W",,,"    1",",,0",,,"    1",",,0","    1",",,X","    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-28","0.00","T,,0,2400","48",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-29","0.00","T,,0,2400","51",",,0","32",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-30","0.33",",,0,2400","62",",,0","45",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-03-31","1.22",",,0,2400","66",",,0","51",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-01","0.00",",,0,2400","51",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-02","0.00",",,0,2400","55",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-03","0.82",",,0,2400","52",",,0","42",",,0","    1",",,X","    1",",,X",,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-04","0.00","T,,0,2400","50",",,0","39",",,0","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-05","0.00",",,0,2400","61",",,0","35",",,0","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-06","0.00",",,0,2400","67",",,0","41",",,0",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-07","0.00",",,0,2400","67",",,0","48",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-08","0.12",",,0,2400","69",",,0","45",",,0","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-09","0.00","T,,0,2400","57",",,0","40",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-10","1.45",",,0,2400","71",",,0","51",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-11","0.00","T,,0,2400","62",",,0","44",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-12","0.00","T,,0,2400","44",",,0","37",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-13","0.03",",,0,2400","43",",,0","36",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,X",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-14","0.00",",,0,2400","52",",,0","35",",,0",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-15","0.00",",,0,2400","63",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-16","0.00",",,0,2400","74",",,0","48",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-17","0.00",",,0,2400","78",",,0","59",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-04-18","0.64",",,0,2400","65",",,0","48",",,0","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
